tail,tails
extric,extricating
lug,lugs
syllab,syllabicated
gaug,gauge
diagnos,diagnosed
unscrambl,unscramble
spearhead,spearheaded
shelter,sheltered
abjur,abjures
rotat,rotated
wolf,wolfing
pollut,pollute
overtrump,overtrumping
disprais,dispraises
behold,beholding
island,islands
gyrat,gyrates
chelat,chelating
transect,transecting
calumni,calumniated
ventur,ventures
polymer,polymerize
avuls,avulses
masquerad,masquerades
restudi,restudied
react,reacted
slam,slammed
surfeit,surfeits
rasp,rasping
circumval,circumvallate
flute,fluting
fester,festered
syphon,syphons
low,lows
vintag,vintage
rumba,rumbaing
petit,petitioned
shanti,shantied
whoosh,whooshed
stunt,stunting
strum,strumming
roughen,roughening
circul,circulate
pagin,paginate
lever,levers
swindl,swindled
swindl,swindle
molt,molted
annunci,annunciated
repos,reposes
circumv,circumventing
suction,suctioned
forfeit,forfeits
shutter,shutters
corn,corned
quip,quipping
remelt,remelts
vowel,vowelize
anesthet,anesthetize
absolv,absolving
muffl,muffling
alli,ally
perfor,perforates
initi,initialize
recompos,recomposes
abscond,absconds
hiss,hissing
abound,abounding
meow,meowing
verdigris,verdigrises
bug,bugging
sod,sods
bifurc,bifurcates
hypostat,hypostatizing
enthus,enthused
reclin,reclined
deadlock,deadlocked
remind,reminds
scale,scales
strut,struts
cradl,cradling
spade,spading
jack,jacking
rack,racking
tare,taring
buck,bucked
reformul,reformulating
stevedor,stevedoring
lamp,lamps
phoney,phoneys
escallop,escallops
consent,consented
standard,standardizing
outgener,outgeneraling
stroke,stroking
autoclav,autoclaved
conjug,conjugating
encompass,encompassing
enrob,enrobes
upchuck,upchucked
unquot,unquoting
belong,belongs
midwiv,midwived
arrang,arrange
repriev,reprieving
derid,deride
skoal,skoals
constern,consternates
resin,resined
sepulchr,sepulchred
ambl,ambling
collim,collimating
mismat,mismated
dous,douses
peddl,peddles
embrown,embrowns
intimid,intimidates
reconsid,reconsiders
submers,submersing
macer,macerates
putter,puttered
moot,mooted
tallow,tallowing
fiberglass,fiberglassed
wriggl,wriggling
fee,fees
fife,fifes
glug,glugs
pour,pours
pirat,pirating
lessen,lessened
defoli,defoliate
polem,polemize
beautifi,beautify
deposit,depositing
interven,intervenes
reconfirm,reconfirmed
wade,wades
iodis,iodise
